Timestamp,OS,Machine_ID,Hostname,RAM_Usage_MB,Swap_Usage_MB,CPU_Usage,Page_Faults
1747070903.476179,Darwin,Rahuls-Mac-mini.local_Rahuls-Mac-mini.local,Rahuls-Mac-mini.local,3079.0,129173611.265625,20.0,1372955
1747070903.981477,Darwin,Rahuls-Mac-mini.local_Rahuls-Mac-mini.local,Rahuls-Mac-mini.local,3079.0,129173599.515625,17.2,1372955
1747070904.4859881,Darwin,Rahuls-Mac-mini.local_Rahuls-Mac-mini.local,Rahuls-Mac-mini.local,3047.703125,129173603.21875,16.5,1372983
1747070904.989554,Darwin,Rahuls-Mac-mini.local_Rahuls-Mac-mini.local,Rahuls-Mac-mini.local,3047.703125,129173605.28125,13.8,1372983
1747070905.4952729,Darwin,Rahuls-Mac-mini.local_Rahuls-Mac-mini.local,Rahuls-Mac-mini.local,3060.59375,129173604.703125,18.5,1372984
1747070906.010628,Darwin,Rahuls-Mac-mini.local_Rahuls-Mac-mini.local,Rahuls-Mac-mini.local,3041.640625,129173607.71875,0.0,1372984
1747070906.514545,Darwin,Rahuls-Mac-mini.local_Rahuls-Mac-mini.local,Rahuls-Mac-mini.local,3080.078125,129173601.53125,13.8,1372987
1747070907.022777,Darwin,Rahuls-Mac-mini.local_Rahuls-Mac-mini.local,Rahuls-Mac-mini.local,3080.078125,129173579.09375,10.0,1372987
1747070907.530818,Darwin,Rahuls-Mac-mini.local_Rahuls-Mac-mini.local,Rahuls-Mac-mini.local,3050.765625,129173549.71875,14.0,1372990
1747070908.036583,Darwin,Rahuls-Mac-mini.local_Rahuls-Mac-mini.local,Rahuls-Mac-mini.local,3044.5625,129173548.078125,17.7,1372990
1747070908.542279,Darwin,Rahuls-Mac-mini.local_Rahuls-Mac-mini.local,Rahuls-Mac-mini.local,3066.125,129173534.953125,22.2,1372991
1747070909.0476868,Darwin,Rahuls-Mac-mini.local_Rahuls-Mac-mini.local,Rahuls-Mac-mini.local,3100.15625,129173538.265625,0.0,1372991
1747070909.553293,Darwin,Rahuls-Mac-mini.local_Rahuls-Mac-mini.local,Rahuls-Mac-mini.local,3070.671875,129173540.3125,30.5,1373055
1747070910.0611598,Darwin,Rahuls-Mac-mini.local_Rahuls-Mac-mini.local,Rahuls-Mac-mini.local,3091.640625,129173538.75,0.0,1373055
1747070910.5703502,Darwin,Rahuls-Mac-mini.local_Rahuls-Mac-mini.local,Rahuls-Mac-mini.local,3077.78125,129173539.328125,17.4,1373095
1747070911.076334,Darwin,Rahuls-Mac-mini.local_Rahuls-Mac-mini.local,Rahuls-Mac-mini.local,3076.6875,129173587.3125,62.9,1373095
1747070911.5817091,Darwin,Rahuls-Mac-mini.local_Rahuls-Mac-mini.local,Rahuls-Mac-mini.local,3076.6875,129173610.390625,0.0,1373118
1747070912.085119,Darwin,Rahuls-Mac-mini.local_Rahuls-Mac-mini.local,Rahuls-Mac-mini.local,3086.890625,129173609.234375,17.6,1373118
1747070912.590594,Darwin,Rahuls-Mac-mini.local_Rahuls-Mac-mini.local,Rahuls-Mac-mini.local,3086.890625,129173607.546875,0.0,1373119
1747070913.095792,Darwin,Rahuls-Mac-mini.local_Rahuls-Mac-mini.local,Rahuls-Mac-mini.local,3110.625,129173605.484375,11.7,1373119
1747070913.605244,Darwin,Rahuls-Mac-mini.local_Rahuls-Mac-mini.local,Rahuls-Mac-mini.local,3068.75,129173605.609375,0.0,1373120
